product_id,text,high_endurance,high_pixel,large_screen,high_performance,high_cost_effective,high_portability
25,华为 Mate 20 X CPU型号:麒麟980  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;NFC;蓝牙;WiFi热点 耳机接口类型:3.5 NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):2400 光圈:f/1.8 像素(万):4000 机身颜色:宝石蓝 机身长度(mm):174.6 机身重量(g):232 机身材质工艺:以官网信息为准 机身宽度(mm):85.4 机身材质分类:金属边框;玻璃后盖 机身厚度(mm):8.15 机身存储(GB):128 分辨率:1080x2244 屏幕材质类型:OLED 屏幕比例:以官网信息为准 主屏幕尺寸:7.2英寸 4099.0,0.0,1.0,1.0,1.0,0.0,0.0
26,飞利浦 飞利浦E151Y CPU型号:以官网信息为准  运行内存(GB):2 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 NFC/NFC模式:不支持NFC 耳机接口类型:其他耳机 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:黑色 机身长度(mm):118 机身重量(g):130 机身材质工艺:以官网信息为准 机身宽度(mm):57 机身材质分类:以官网信息为准 机身厚度(mm):13 机身存储(GB):8 分辨率:240×320 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:1.8英寸 198.0,0.0,1.0,1.0,0.0,0.0,1.0
27,vivo Z5x CPU型号:骁龙710  运行内存(GB):6 操作系统:Android 操作系统版本:Android 9 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):1600 光圈:f/1.78 像素(万):1600 机身颜色:以官网信息为准 机身长度(mm):162.39 机身重量(g):204.1 机身材质工艺:以官网信息为准 机身宽度(mm):77.33 机身材质分类:以官网信息为准 机身厚度(mm):8.85 机身存储(GB):64 分辨率:2340X1080 屏幕材质类型:LCD 屏幕比例:19.5:9 主屏幕尺寸:6.53英寸 1298.0,0.0,0.0,0.0,1.0,1.0,1.0
28,小米 小米Mix3 8GB+128GB黑色 骁龙845全网通4G CPU型号:骁龙845  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:Type-C NFC/NFC模式:其他 光圈:f/2.2 像素(万):2400 光圈:f/1.8 像素(万):1200 机身颜色:黑色 机身长度(mm):157.89 机身重量(g):218 机身材质工艺:以官网信息为准 机身宽度(mm):74.69 机身材质分类:以官网信息为准 机身厚度(mm):8.46 机身存储(GB):128 分辨率:2340x1080 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.39 2599.0,0.0,1.0,0.0,1.0,0.0,1.0
29,华为 畅玩8c CPU型号:骁龙632  运行内存(GB):以官网信息为准 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;WiFi热点;蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):800 光圈:f/1.8 像素(万):1300 机身颜色:黑色 机身长度(mm):158.72 机身重量(g):167.2 机身材质工艺:后壳 机身宽度(mm):75.94 机身材质分类:以官网信息为准 机身厚度(mm):7.98 机身存储(GB):以官网信息为准 分辨率:1520x720 屏幕材质类型:IPS 屏幕比例:以官网信息为准 主屏幕尺寸:6.26英寸 779.0,0.0,1.0,1.0,1.0,0.0,0.0
30,华为 荣耀8x CPU型号:以官网信息为准  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):1600 光圈:f/1.8 像素(万):2000 机身颜色:蓝色 机身长度(mm):160.4 机身重量(g):175 机身材质工艺:以官网信息为准 机身宽度(mm):76.6 机身材质分类:以官网信息为准 机身厚度(mm):7.8 机身存储(GB):128 分辨率:1080x2340 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:6.5英寸 1338.0,1.0,1.0,0.0,0.0,0.0,1.0
31,realme realme Q CPU型号:以官网信息为准  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):1600 光圈:f/1.79 像素(万):4800 机身颜色:蓝色 机身长度(mm):157 机身重量(g):184 机身材质工艺:以官网信息为准 机身宽度(mm):74.2 机身材质分类:以官网信息为准 机身厚度(mm):8.9 机身存储(GB):64 分辨率:2340×1080 屏幕材质类型:LCD 屏幕比例:以官网信息为准 主屏幕尺寸:6.3英寸 1198.0,0.0,1.0,1.0,1.0,0.0,0.0
32,天语 E2 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:金色 机身长度(mm):121 机身重量(g):78 机身材质工艺:喷油 机身宽度(mm):53 机身材质分类:金属边框;塑胶后盖 机身厚度(mm):14.8 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:4:3 主屏幕尺寸:2.4英寸 139.0,1.0,0.0,1.0,0.0,1.0,0.0
33,AGM M2 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:以官网信息为准 像素(万):无前置摄像头 光圈:以官网信息为准 像素(万):30 机身颜色:黑色 机身长度(mm):139 机身重量(g):138 机身材质工艺:塑料 机身宽度(mm):56.8 机身材质分类:塑胶后盖;其他 机身厚度(mm):16 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:2.4英寸 269.0,0.0,0.0,0.0,1.0,1.0,1.0
34,华为 华为Mate 30 Pro CPU型号:麒麟990  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WiFi Direct;WIFI;WiFi热点;蓝牙;NFC;红外;OTG接口;其他 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):3200 光圈:以官网信息为准 像素(万):4000 机身颜色:银色 机身长度(mm):158.1 机身重量(g):198 机身材质工艺:金属边框;玻璃后盖 机身宽度(mm):73.1 机身材质分类:金属边框;玻璃后盖;其他 机身厚度(mm):8.8 机身存储(GB):128 分辨率:2340×1080 屏幕材质类型:OLED 屏幕比例:以官网信息为准 主屏幕尺寸:6.53英寸 5799.0,0.0,1.0,1.0,1.0,0.0,0.0
35,华为 畅享9 CPU型号:骁龙450  运行内存(GB):4 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;WiFi热点;蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):800 光圈:f/1.8 像素(万):1300 机身颜色:黑色 机身长度(mm):158.92 机身重量(g):168 机身材质工艺:以官网信息为准 机身宽度(mm):76.91 机身材质分类:以官网信息为准 机身厚度(mm):8.1 机身存储(GB):64 分辨率:以官网信息为准 屏幕材质类型:其他 屏幕比例:19:9 主屏幕尺寸:6.26英寸 865.0,1.0,1.0,0.0,0.0,0.0,1.0
36,高通 产品名称 CPU型号:骁龙855plus  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;WiFi热点;蓝牙;NFC;红外 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模式 光圈:f/2.0 像素(万):2000 光圈:f/1.75 像素(万):4800 机身颜色:黑色 机身长度(mm):157.21 机身重量(g):196 机身材质工艺:以官网信息为准 机身宽度(mm):74.64 机身材质分类:以官网信息为准 机身厚度(mm):8.54 机身存储(GB):256 分辨率:2340 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.39英寸 3799.0,0.0,1.0,1.0,1.0,0.0,0.0
37,华为 荣耀Play3 CPU型号:麒麟710F  运行内存(GB):4 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):800 光圈:f/1.8 像素(万):4800 机身颜色:黑色 机身长度(mm):159.81 机身重量(g):176 机身材质工艺:以官网信息为准 机身宽度(mm):76.13 机身材质分类:以官网信息为准 机身厚度(mm):8.13 机身存储(GB):64 分辨率:1560*720 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:6.39 999.0,1.0,0.0,1.0,0.0,1.0,0.0
38,华为 荣耀9X PRO CPU型号:Hisilicon  运行内存(GB):8 操作系统:Android 操作系统版本:Android 9 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.2 像素(万):1600 光圈:f/1.8 像素(万):4800 机身颜色:幻影紫 机身长度(mm):163.1 机身重量(g):206 机身材质工艺:以官网信息为准 机身宽度(mm):77.2 机身材质分类:以官网信息为准 机身厚度(mm):8.8 机身存储(GB):128 分辨率:1080*2340 屏幕材质类型:LTPS 屏幕比例:以官网信息为准 主屏幕尺寸:6.59英寸 2199.0,1.0,0.0,1.0,0.0,0.0,1.0
39,飞利浦 E212A CPU型号:以官网信息为准  运行内存(GB):2 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:以官网信息为准 像素(万):8 机身颜色:深锖色 机身长度(mm):108.5 机身重量(g):135 机身材质工艺:以官网信息为准 机身宽度(mm):57.5 机身材质分类:塑胶后盖 机身厚度(mm):19.5 机身存储(GB):8 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:2.8英寸 288.0,1.0,0.0,0.0,1.0,1.0,0.0
40,华为 荣耀8X CPU型号:Hisilicon  运行内存(GB):4 操作系统:Android 操作系统版本:Android 8.1 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:f/2.0 像素(万):1600 光圈:f/1.8 像素(万):2000 机身颜色:幻夜黑 机身长度(mm):160.4 机身重量(g):175 机身材质工艺:卡托 机身宽度(mm):76.6 机身材质分类:金属边框;玻璃后盖 机身厚度(mm):7.8 机身存储(GB):64 分辨率:1080x2340 屏幕材质类型:IPS 屏幕比例:以官网信息为准 主屏幕尺寸:6.5英寸 999.0,1.0,1.0,0.0,1.0,0.0,0.0
41,华为 畅玩7 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WIFI;蓝牙 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:以官网信息为准 像素(万):500 光圈:以官网信息为准 像素(万):1300 机身颜色:金色 机身长度(mm):146.5 机身重量(g):142 机身材质工艺:以官网信息为准 机身宽度(mm):70.9 机身材质分类:塑胶后盖 机身厚度(mm):8.3 机身存储(GB):以官网信息为准 分辨率:1440*720 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:5.45英寸 489.0,0.0,0.0,1.0,1.0,1.0,0.0
42,天语 天语 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:金色 机身长度(mm):123 机身重量(g):188 机身材质工艺:塑材 机身宽度(mm):55 机身材质分类:塑胶后盖 机身厚度(mm):14.2 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:2.4英寸 99.0,0.0,0.0,0.0,1.0,1.0,1.0
43,华为 mate 30 CPU型号:麒麟990  运行内存(GB):8 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:WiFi Direct;WIFI;WiFi热点;蓝牙;红外;OTG接口 耳机接口类型:3.5 NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模拟 光圈:f/2.0 像素(万):2400 光圈:f/1.8 像素(万):4000 机身颜色:黑色 机身长度(mm):160.8 机身重量(g):196 机身材质工艺:以官网信息为准 机身宽度(mm):76.1 机身材质分类:以官网信息为准 机身厚度(mm):8.4 机身存储(GB):128 分辨率:FHD+2340×1080 屏幕材质类型:OLED 屏幕比例:19.5:9 主屏幕尺寸:其他英寸 4299.0,0.0,1.0,0.0,0.0,1.0,1.0
44,OPPO OPPO Reno Z CPU型号:Helio  运行内存(GB):6 操作系统:Android 操作系统版本:以官网信息为准 数据传输接口:NFC 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:f/2.0 像素(万):3200 光圈:f/1.7 像素(万):4800 机身颜色:珊瑚橙 机身长度(mm):157.3 机身重量(g):186 机身材质工艺:以官网信息为准 机身宽度(mm):74.9 机身材质分类:以官网信息为准 机身厚度(mm):9.1 机身存储(GB):256 分辨率:2340*1080 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.4英寸 2199.0,0.0,1.0,0.0,1.0,0.0,1.0
45,诺基亚 Nokia 8110 CPU型号:高通205移动平台  运行内存(GB):2 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:WIFI;蓝牙;WiFi热点 耳机接口类型:3.5 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:f/2.4 像素(万):200 机身颜色:黑色 机身长度(mm):133.45 机身重量(g):117 机身材质工艺:聚碳酸酯 机身宽度(mm):49.3 机身材质分类:塑胶后盖 机身厚度(mm):14.8 机身存储(GB):8 分辨率:QVGA 屏幕材质类型:其他 屏幕比例:以官网信息为准 主屏幕尺寸:2.4英寸 399.0,1.0,1.0,0.0,1.0,0.0,0.0
46,中兴 中兴 ZTE 天机 CPU型号:骁龙855  运行内存(GB):6 操作系统:Android 操作系统版本:9 其他接口特点:手机支持NFC功能，但是具体到应用场景，还需要消费者向业务提供方确认是否支持 数据传输接口:WIFI;NFC;蓝牙;WiFi热点 耳机接口类型:Type-C NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模式 光圈:f/2.0 像素(万):2000 光圈:f/1.7 像素(万):4800 机身颜色:蓝色 机身长度(mm):159.2 机身重量(g):175 机身材质工艺:八曲面玻璃，金属中框 机身宽度(mm):73.4 机身材质分类:金属边框;玻璃后盖;其他 机身厚度(mm):7.9 机身存储(GB):128 分辨率:FHD+2340*1080 屏幕材质类型:AMOLED 屏幕比例:19.5:9 主屏幕尺寸:6.47英寸 3199.0,1.0,0.0,0.0,1.0,0.0,1.0
47,天语 E2 CPU型号:以官网信息为准  运行内存(GB):以官网信息为准 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:不支持NFC 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:红色 机身长度(mm):121 机身重量(g):78 机身材质工艺:喷油 机身宽度(mm):53 机身材质分类:金属边框;塑胶后盖 机身厚度(mm):14.8 机身存储(GB):以官网信息为准 分辨率:240*320 屏幕材质类型:TFT 屏幕比例:4:3 主屏幕尺寸:2.4英寸 139.0,0.0,0.0,1.0,1.0,0.0,1.0
48,华为 荣耀8A CPU型号:Helio  运行内存(GB):以官网信息为准 操作系统:Android 操作系统版本:Android 9 . 数据传输接口:蓝牙 耳机接口类型:3.5 NFC/NFC模式:其他 光圈:以官网信息为准 像素(万):800 光圈:以官网信息为准 像素(万):1300 机身颜色:红色 机身长度(mm):156.28 机身重量(g):150 机身材质工艺:以官网信息为准 机身宽度(mm):73.5 机身材质分类:以官网信息为准 机身厚度(mm):8.0 机身存储(GB):以官网信息为准 分辨率:1560x720 屏幕材质类型:IPS 屏幕比例:以官网信息为准 主屏幕尺寸:6.088英寸 679.0,0.0,1.0,0.0,1.0,0.0,1.0
49,飞利浦 飞利浦 E171L CPU型号:以官网信息为准  运行内存(GB):2 操作系统:功能机 操作系统版本:以官网信息为准 数据传输接口:其他 耳机接口类型:其他耳机 NFC/NFC模式:其他 光圈:无光圈 像素(万):无前置摄像头 光圈:无光圈 像素(万):30 机身颜色:黑色 机身长度(mm):123.4 机身重量(g):111.5 机身材质工艺:复合材质 机身宽度(mm):57.2 机身材质分类:以官网信息为准 机身厚度(mm):14.4 机身存储(GB):8 分辨率:320×240 屏幕材质类型:TFT 屏幕比例:以官网信息为准 主屏幕尺寸:2.4英寸 198.0,0.0,0.0,1.0,1.0,0.0,1.0
50,realme realme X2 Pro CPU型号:骁龙855plus  运行内存(GB):8 操作系统:Android 操作系统版本:9 数据传输接口:WIFI;NFC;蓝牙;DLNA;WiFi热点;OTG接口;LTE dirtect;WiFi Direct;WiFi Display 耳机接口类型:3.5 NFC/NFC模式:支持点对点模式;支持读卡器模式;支持卡模式;支持卡模拟 光圈:f/2.0 像素(万):1600 光圈:f/1.8 像素(万):6400 机身颜色:海神 机身长度(mm):161 机身重量(g):199 机身材质工艺:后盖工艺 机身宽度(mm):75.7 机身材质分类:玻璃后盖 机身厚度(mm):8.7 机身存储(GB):128 分辨率:2400×1080 屏幕材质类型:Super 屏幕比例:20:9 主屏幕尺寸:6.5英寸 2899.0,1.0,0.0,0.0,1.0,0.0,1.0
